Date,Open,High,Low,Close,Adj Close,Volume
2021-12-09,89.120003,89.989998,88.239998,88.769997,85.618546,8615800
2021-12-10,104.290001,106.339996,100.099998,102.629997,98.986488,45824600
2021-12-13,102.440002,104.360001,100.519997,100.889999,97.308266,16317600
2021-12-14,100.000000,101.459999,99.389999,99.889999,96.343758,9511600
2021-12-15,100.580002,103.760002,100.239998,103.650002,99.970284,14452200
2021-12-16,103.949997,104.000000,102.279999,103.220001,99.555534,9053200
2021-12-17,97.690002,99.949997,95.809998,96.620003,93.189850,28872300
2021-12-20,96.419998,96.419998,91.519997,91.639999,88.386642,17205400
2021-12-21,91.809998,91.839996,89.709999,91.510002,88.261276,15823000
2021-12-22,91.269997,91.860001,89.510002,89.860001,86.669853,10539000
2021-12-23,90.029999,90.360001,89.059998,89.720001,86.534828,9655400
2021-12-27,89.699997,90.330002,89.019997,89.540001,86.361206,7666200
2021-12-28,89.699997,89.800003,88.519997,88.650002,85.502808,5610500
2021-12-29,88.500000,89.190002,87.720001,88.209999,85.078423,5628500
2021-12-30,88.650002,88.910004,87.769997,88.010002,84.885529,7382400
2021-12-31,88.050003,88.099998,87.180000,87.209999,84.113914,5908200
2022-01-03,87.330002,87.940002,85.760002,87.900002,84.779427,10644400
2022-01-04,87.900002,89.580002,87.730003,88.839996,85.686050,11959000
2022-01-05,88.489998,88.599998,86.220001,86.459999,83.390564,11236700
2022-01-06,86.000000,87.419998,85.550003,86.339996,83.584152,7918400
2022-01-07,86.449997,88.000000,86.279999,87.510002,84.716820,9836800
2022-01-10,87.379997,89.379997,86.949997,89.279999,86.430321,11025500
2022-01-11,88.639999,89.000000,87.410004,88.480003,85.655869,7249800
2022-01-12,88.889999,89.519997,87.669998,88.309998,85.491295,5840300
2022-01-13,88.730003,88.919998,87.550003,87.790001,84.987877,6044300
2022-01-14,87.480003,88.099998,86.660004,87.690002,84.891083,6054800
2022-01-18,86.870003,86.970001,85.339996,85.550003,82.819382,6824700
2022-01-19,85.769997,86.690002,83.230003,83.379997,80.718643,10501800
2022-01-20,83.919998,85.000000,82.519997,82.720001,80.079704,10836900
2022-01-21,83.360001,83.389999,82.029999,82.220001,79.595673,11609000
2022-01-24,81.220001,82.419998,79.589996,82.419998,79.789291,16770400
2022-01-25,81.330002,82.099998,80.199997,81.070000,78.482376,13469900
2022-01-26,81.910004,82.029999,79.279999,79.589996,77.049614,13971300
2022-01-27,80.110001,81.150002,79.199997,79.779999,77.233536,10331900
2022-01-28,79.989998,80.500000,78.570000,80.480003,77.911209,7854700
2022-01-31,80.489998,81.639999,80.120003,81.160004,78.569519,10594200
2022-02-01,81.400002,81.400002,79.650002,81.040001,78.453339,8016900
2022-02-02,81.160004,82.879997,80.839996,82.500000,79.866722,9287600
2022-02-03,81.629997,82.760002,81.629997,81.940002,79.324615,8207200
2022-02-04,82.029999,82.910004,81.470001,82.110001,79.489174,5570200
2022-02-07,82.139999,82.250000,80.660004,80.739998,78.162918,6292200
2022-02-08,80.290001,80.860001,79.800003,80.790001,78.211319,6585300
2022-02-09,81.750000,83.650002,81.650002,83.449997,80.786407,8755900
2022-02-10,82.750000,83.779999,81.620003,81.849998,79.237473,6336300
2022-02-11,81.839996,82.430000,79.529999,79.750000,77.204514,7670500
2022-02-14,79.580002,79.730003,78.440002,78.949997,76.430038,5389800
2022-02-15,79.389999,79.930000,79.209999,79.769997,77.223869,5712800
2022-02-16,79.470001,79.779999,78.220001,79.190002,76.662384,6227000
2022-02-17,78.760002,78.980003,75.330002,75.529999,73.119209,9247100
2022-02-18,75.500000,75.730003,74.279999,74.570000,72.189835,7790100
2022-02-22,73.820000,74.910004,73.620003,74.120003,71.754211,8039000
2022-02-23,74.070000,74.379997,72.349998,72.470001,70.156876,6807100
2022-02-24,70.940002,74.940002,70.230003,74.809998,72.422173,11240500
